London-Road,South-Willesborough,Collyhurst-Weir,Alfoldean,Denham-Lodge,Kirkby,Morwick,Ower,Great-Corby,Elm-Park-(Bretons-Farm)
0.662,0.138,2.12,0.278,0.152,2.34,4.41,0.239,85.4,0.1
0.517,0.134,1.7,0.251,0.15,1.37,3.68,0.208,62,0.089
0.446,0.13,1.52,0.224,0.146,1.1,3.32,0.192,49.5,0.088
0.395,0.124,1.44,0.212,0.143,0.98,3.12,0.188,41.4,0.085
0.357,0.12,1.36,0.21,0.146,0.875,2.89,0.18,35.3,0.09
0.471,0.126,1.74,0.711,0.144,0.964,2.82,0.225,31.6,0.155
0.523,0.677,1.74,1.77,0.158,0.893,5.2,0.939,33.2,0.85
0.612,1.49,1.79,3.84,0.242,0.851,11.2,1.52,37.6,0.634
0.57,0.64,1.79,1.2,0.197,1.07,10.1,0.389,33.9,1.13
0.81,0.39,1.7,0.756,0.186,0.906,27.7,0.3,31.4,0.346
0.548,0.307,1.45,0.497,0.188,1.05,56.9,0.268,40,0.205
0.453,0.26,1.39,0.411,0.178,0.924,20,0.242,31.6,0.123
0.504,0.259,1.77,0.346,0.176,2.21,12.1,0.411,31.5,0.224
1.46,1.25,3.67,2.33,0.231,5.75,37.9,3.05,74.3,1.29
0.949,1.7,2.4,3.37,0.223,3.73,41.3,1.52,152,0.456
2.79,1.35,6.46,1.41,0.194,9.25,22.3,0.587,114,0.18
1.58,1.85,3.4,3.45,0.241,5.64,17.4,4.51,151,0.679
3.7,1.75,5.87,6.42,0.232,4.4,32,3.62,106,1.36
5.57,1.18,8.01,5.18,0.214,4.92,26.8,1.07,78.9,0.627
1.58,0.706,3.01,1.5,0.196,2.71,19.8,0.608,64,0.277
0.966,0.603,2.02,1.34,0.194,2.05,13.6,1.67,50.4,0.239
0.751,0.963,1.76,2.08,0.192,1.7,20.4,4.24,43.6,0.616
0.593,1.14,1.67,2.56,0.188,1.35,50.1,3.96,39.8,0.304
0.493,0.653,1.42,1.4,0.182,1.1,27.4,1.32,36.9,0.196
0.441,0.503,1.36,0.875,0.178,1.01,15.6,0.724,32,0.157
0.411,0.464,1.31,0.795,0.18,0.956,11.8,0.586,28.8,0.162
0.392,0.596,1.3,2.54,0.191,0.934,10,0.764,26.5,0.171
0.447,0.502,1.56,1.46,0.184,1.25,9.32,0.64,25.1,0.139
0.534,0.431,1.66,0.971,0.188,1.08,8.25,0.533,25.5,0.129
0.401,0.384,1.3,0.706,0.172,1.01,7.24,0.463,24.9,0.118
0.636,0.369,2,0.653,0.176,2.81,8.06,0.448,39.8,0.12
0.575,0.357,1.56,0.627,0.175,2.4,8.34,0.433,37.6,0.121
0.537,0.373,1.42,0.62,0.178,1.72,7.23,0.423,31.6,0.126
0.666,0.377,1.82,0.938,0.196,1.9,6.59,0.418,29.9,0.306
0.504,0.402,1.38,1.34,0.195,1.51,6.14,0.419,26.6,0.154
0.45,0.357,1.35,0.867,0.182,1.24,5.58,0.37,23.4,0.128
0.534,0.337,1.62,0.684,0.18,1.31,5.28,0.358,23,0.116
0.417,0.305,1.32,0.562,0.175,1.01,4.86,0.317,21.5,0.107
0.385,0.291,1.28,0.51,0.174,0.974,4.56,0.297,19.9,0.102
0.449,0.293,1.58,0.488,0.176,0.962,4.64,0.303,21.8,0.105
1.94,0.288,3.75,0.46,0.171,1.17,6.63,0.304,53.6,0.103
6.02,0.284,8.47,0.449,0.169,1.35,6.34,0.302,53.2,0.123
3.79,0.464,6.62,0.555,0.22,6.4,5.25,0.306,31,2.34
1.48,0.685,2.82,0.782,0.206,2.93,4.63,0.312,26.8,0.739
1.04,0.455,1.91,0.843,0.198,1.84,4.13,0.567,23.9,0.316
1.25,0.402,2.82,1.1,0.198,1.86,4.09,1.17,23.7,0.229
1.06,0.376,2.23,1,0.199,1.44,5.15,0.632,35.2,0.191
0.852,0.341,2.01,0.788,0.178,1.37,5.05,0.488,31.5,0.169
0.731,0.321,1.83,0.658,0.182,1.22,5.27,0.436,27,0.149
0.801,0.316,1.71,0.605,0.183,1.29,4.74,0.398,24.7,0.145
0.656,0.324,1.66,0.566,0.183,1.77,4.52,0.392,27.8,0.16
0.703,0.327,2.16,0.56,0.18,2.38,4.23,0.368,26.3,0.133
0.669,0.419,1.68,0.605,0.185,1.87,10.6,0.393,30.4,0.159
0.557,0.386,1.49,0.656,0.181,1.39,9.58,0.379,26.4,0.128
0.475,0.367,1.41,0.598,0.179,1.28,6.97,0.357,23.9,0.126
0.444,0.345,1.36,0.548,0.166,1.28,5.91,0.341,22,0.124
0.411,0.314,1.29,0.488,0.166,1.28,5.27,0.324,20.6,0.14
0.487,0.292,1.56,0.444,0.161,1.05,4.9,0.309,20.7,0.158
0.461,0.283,1.28,0.413,0.162,0.896,4.7,0.306,21.4,0.169
0.416,0.276,1.24,0.403,0.16,0.892,4.36,0.306,19.5,0.167
0.41,0.266,1.21,0.401,0.163,0.867,4.21,0.307,18.7,0.167
0.366,0.256,1.17,0.389,0.157,0.838,4.16,0.297,18.9,0.165
0.348,0.258,1.18,0.394,0.156,0.832,3.91,0.295,17.8,0.164
0.334,0.27,1.14,0.38,0.155,0.795,3.82,0.298,16.8,0.165
0.333,0.266,1.14,0.387,0.155,0.822,3.65,0.296,15.9,0.165
0.425,0.256,1.49,0.38,0.152,0.791,3.54,0.285,15.2,0.156
0.351,0.254,1.15,0.362,0.153,0.77,3.44,0.282,14.9,0.153
0.328,0.256,1.12,0.343,0.152,0.758,3.37,0.279,14.3,0.152
0.33,0.258,1.16,0.35,0.154,0.924,3.38,0.279,25.1,0.153
0.383,0.268,1.48,0.387,0.153,1.24,4.72,0.286,77.1,0.154
1,0.314,2.48,0.414,0.156,2.02,4.87,0.336,50.6,0.215
2.61,3.88,4.77,4.19,0.243,4.2,5,1.19,63,2.45
1.98,2.81,3.2,5.28,0.23,2.35,4.04,2.59,49.1,0.806
0.75,2.71,1.69,11.2,0.239,1.53,3.61,7.62,39,0.49
0.699,1.52,1.91,2.79,0.219,2.2,3.32,1.99,34.9,0.322
1.77,0.9,3.76,1.56,0.206,3.67,3.4,0.986,33.9,0.503
3.84,1.39,6.91,5.97,0.269,5.04,3.98,1.33,82.2,1.04
1.27,1.14,2.75,3.17,0.233,2.48,5.2,0.901,70.4,0.486
1.89,1.45,4.19,2.68,0.234,3.25,8.36,0.793,93.4,0.335
1.63,1.69,3.47,2.33,0.217,3.1,7.58,0.703,71.2,0.252
0.893,0.919,2.08,1.42,0.205,2.14,5.12,0.556,47,0.198
2.08,0.844,4.1,1.58,0.224,3.92,4.56,0.83,78.7,0.775
2.12,1.93,4.25,5.13,0.272,3.04,9.36,1.87,116,0.673
1.42,1.06,2.92,2.26,0.263,2,6.35,0.758,60.6,0.344
1.72,0.925,3.92,1.39,0.257,2.28,8.28,0.667,61.9,0.272
1.68,0.804,3.49,1.29,0.254,2.16,20.7,0.597,91.3,0.232
1.98,0.767,3.85,1.24,0.26,2.66,24.9,0.608,74.2,0.285
1.18,0.704,2.54,1.17,0.252,1.81,20.6,0.613,68.2,0.199
0.831,0.62,1.92,0.962,0.247,1.47,13.1,0.531,52.7,0.174
0.995,0.647,2.38,0.981,0.249,1.81,10.4,0.52,70.8,0.212
0.904,0.702,2.49,0.997,0.242,1.46,9.32,0.503,92.6,0.174
0.707,0.669,1.81,0.951,0.24,1.33,9.44,0.476,76.4,0.161
4.26,0.654,9.9,0.93,0.236,1.63,29.4,0.472,559,0.17
1.58,0.611,3.53,1.19,0.246,1.24,91.6,0.594,724,0.18
0.956,0.555,2.33,1.16,0.241,1.14,36.8,0.656,258,0.143
0.739,0.99,1.95,3.62,0.25,1.05,31.1,3.38,373,0.438
0.695,1.25,2.11,5.64,0.245,1.22,19,3.76,175,0.225
0.724,0.919,2.34,3.58,0.235,1.03,16.5,2.1,131,0.165
0.608,0.682,1.72,1.79,0.234,0.904,12.2,0.949,98.1,0.136
0.521,0.586,1.51,1.41,0.232,0.867,10.2,0.752,75.3,0.125
0.493,0.539,1.49,1.26,0.234,0.841,9.31,0.859,63.7,0.125
0.49,0.501,1.61,1.12,0.231,0.855,8.6,0.724,59.5,0.122
0.972,0.514,2.78,1.15,0.243,1.47,9.33,0.901,88.5,0.293
1.83,0.511,4.17,1.32,0.244,6.74,9.17,1.18,77.9,0.209
2.14,0.439,4.52,1.07,0.235,3.16,7.81,0.755,78.2,0.164
1.68,0.431,4.34,0.963,0.232,13.5,7.66,0.664,78.3,0.149
1.28,0.397,2.86,0.871,0.227,4.58,6.4,0.564,56.2,0.134
0.809,0.379,1.94,0.867,0.228,2.72,5.74,1.52,45,0.125
0.658,0.37,1.69,0.872,0.225,1.95,5.39,2.02,39,0.122
0.607,0.357,1.57,0.777,0.226,1.57,5.42,0.842,34.9,0.129
0.528,0.375,1.5,0.715,0.224,1.34,6.84,0.673,32.1,0.133
0.493,0.383,1.39,0.677,0.22,1.21,9.07,0.587,30.1,0.119
0.462,0.472,1.45,0.705,0.225,1.13,8.1,0.55,28.4,0.328
0.431,0.894,1.33,1.02,0.227,1.05,7.01,0.531,26.5,0.219
0.405,0.717,1.27,1.1,0.226,0.963,6.76,0.491,24.8,0.164
0.381,0.602,1.24,0.913,0.192,0.914,5.96,0.464,23.2,0.146
0.377,0.544,1.24,0.824,0.185,0.88,5.43,0.449,22.3,0.162
0.356,0.498,1.21,0.765,0.178,0.841,5.37,0.432,21.3,0.152
0.351,0.463,1.26,0.74,0.177,0.833,5.14,0.413,20.2,0.134
0.343,0.441,1.21,0.698,0.177,0.827,4.81,0.407,19.9,0.167
0.331,0.436,1.19,0.682,0.178,0.828,4.56,0.412,19.2,0.179
0.326,0.431,1.19,0.742,0.177,0.893,4.44,0.43,22.1,0.192
0.447,0.405,1.49,0.808,0.177,0.861,4.75,0.411,25.3,0.183
0.357,0.381,1.19,0.694,0.175,0.762,4.52,0.386,23,0.148
0.354,0.364,1.17,0.635,0.174,0.764,4.14,0.375,21.3,0.113
0.838,0.366,2.46,0.591,0.172,1.39,4.37,0.369,26.8,0.11
0.736,0.431,1.85,0.667,0.189,1,4.35,0.387,62.5,0.331
4.54,0.735,6.84,1.22,0.195,4.11,4.64,0.464,41.2,0.232
4,0.806,7.07,1.43,0.205,3.52,14.9,0.575,80.4,0.379
1.76,0.729,3.28,1.11,0.201,2.12,9.18,0.464,47.9,0.401
0.928,0.576,1.95,0.855,0.193,1.45,8.6,0.403,39.3,0.211
0.713,0.496,1.63,0.714,0.186,1.29,7.15,0.37,32.9,0.161
0.616,0.48,1.6,0.615,0.186,1.13,6.42,0.348,29.3,0.138
0.589,0.456,1.5,0.594,0.184,1.02,5.97,0.347,27.7,0.154
0.592,0.472,1.56,0.598,0.188,1.08,5.71,0.351,26.7,0.165
0.503,0.452,1.36,0.577,0.187,0.932,5.04,0.341,24.1,0.141
0.443,0.425,1.3,0.533,0.183,0.872,4.89,0.322,20.9,0.128
0.458,0.45,1.3,0.529,0.181,0.834,6.61,0.318,19.3,0.182
0.492,0.507,1.42,0.614,0.177,0.794,8.71,0.315,18.8,0.235
0.447,0.697,1.35,0.612,0.18,0.778,8.41,0.309,18.4,0.176
0.947,1.99,2.26,0.79,0.185,0.801,9.74,0.322,18.1,0.31
0.832,1.34,2.16,0.966,0.185,0.75,19.6,0.325,18.8,0.199
0.834,1.7,1.65,0.769,0.188,0.734,34.2,0.324,20.7,0.205
0.629,1.21,1.42,0.696,0.185,0.735,19.6,0.309,21,0.166
0.851,0.926,2.35,0.612,0.188,1.03,13.9,0.303,19.2,0.152
1.35,1.81,2.94,0.968,0.217,1.08,17.8,0.347,21.2,0.604
0.751,5.33,1.73,4.05,0.205,0.778,14.7,0.385,20.4,1.36
0.659,3.17,1.57,3.13,0.194,0.847,14.2,0.329,18.5,0.574
1.09,2.61,2.46,2.44,0.202,0.921,21.5,0.331,23,0.494
0.679,3.13,1.49,2.22,0.201,0.756,19.7,0.352,23.5,0.4
0.569,2.37,1.36,1.34,0.192,0.701,15.8,0.334,20.7,0.278
0.564,1.56,1.32,1.01,0.192,0.673,13.3,0.312,18.8,0.255
0.593,1.19,1.28,0.939,0.187,0.672,15.8,0.31,19.3,0.219
0.474,0.971,1.27,0.816,0.185,0.665,14.2,0.305,19.9,0.197
0.451,0.858,1.24,0.775,0.185,0.661,16.1,0.302,21.6,0.215
0.468,0.806,1.35,0.777,0.192,0.687,34,0.304,40.3,0.211
0.412,0.709,1.24,0.722,0.187,0.669,16.3,0.298,26,0.172
0.382,0.638,1.24,0.641,0.189,0.663,10.9,0.286,18.7,0.156
0.622,0.593,2.1,0.607,0.179,1.65,9.94,0.283,18.8,0.149
0.499,0.556,1.45,0.561,0.183,0.953,27.2,0.282,75.3,0.144
0.415,0.542,1.45,0.551,0.18,0.723,22.9,0.291,82.4,0.14
0.403,0.478,1.39,0.529,0.176,0.691,13.9,0.282,57.5,0.136
0.372,0.496,1.24,0.503,0.176,0.672,10.4,0.271,41.6,0.127
0.357,0.49,1.21,0.514,0.175,0.666,8.67,0.27,33.6,0.124
0.342,0.48,1.2,0.5,0.175,0.657,7.55,0.271,28.2,0.121
0.402,0.473,1.42,0.507,0.177,0.716,6.91,0.286,25,0.128
0.44,0.512,1.71,1.06,0.207,0.814,7.34,0.614,38.9,0.249
0.324,0.451,1.29,0.748,0.185,0.888,7.01,0.434,33.2,0.133
0.33,0.463,1.39,0.768,0.202,0.8,6.08,0.62,29.3,0.13
0.29,0.434,1.22,0.633,0.186,0.682,5.8,0.425,26.1,0.118
0.285,0.428,1.2,0.575,0.184,0.779,5.33,0.367,23.9,0.119
0.297,0.644,1.23,0.524,0.181,0.815,11.6,0.338,23.6,0.113
0.31,0.505,1.2,0.487,0.179,0.645,60.3,0.317,43.8,0.109
0.307,0.722,1.23,1.09,0.247,0.678,22.3,2.1,27.4,0.501
0.383,1.03,1.63,3.29,0.319,2.14,14.5,2.72,23.1,0.378
0.287,0.719,1.28,3.55,0.261,1.16,11.3,0.937,20.8,0.177
0.273,0.589,1.23,1.69,0.238,0.853,9.39,0.668,19.4,0.15
0.262,0.512,1.22,1.16,0.223,0.788,8.1,0.544,18,0.136
0.294,0.455,1.34,0.928,0.214,0.864,7.12,0.464,16.8,0.126
0.285,0.459,1.3,0.741,0.2,0.738,6.42,0.421,17.3,0.122
0.297,0.414,1.57,0.641,0.192,0.817,5.82,0.388,19.6,0.113
1.14,0.41,2.93,0.628,0.193,1.98,8.83,0.426,113,0.125
0.897,0.398,2.31,0.723,0.197,1.38,9.24,0.411,66.7,0.218
0.423,0.391,1.49,0.641,0.189,0.849,7.98,0.362,45.2,0.141
0.452,0.354,1.47,0.514,0.184,0.851,6.68,0.317,38.9,0.104
0.355,0.34,1.4,0.472,0.18,0.78,7.07,0.307,38.2,0.101
0.349,0.328,1.33,0.457,0.178,0.707,5.66,0.296,30.4,0.099
0.338,0.331,1.48,0.459,0.177,1.21,5.09,0.297,27.2,0.103
0.446,0.397,1.84,0.587,0.182,1.19,4.76,0.366,24.7,0.225
0.462,0.531,1.93,0.625,0.201,1.78,20.7,0.354,24,0.162
1.29,0.518,3.52,1.18,0.203,3.18,111,0.335,36.9,0.137
1.4,0.435,2.98,0.903,0.19,3.17,107,0.318,50.1,0.109
0.909,0.429,2.92,0.719,0.193,3.56,40.2,0.365,37.3,0.423
1.33,0.736,3.39,1.58,0.203,4.36,82.7,1.06,64.7,0.329
0.668,0.485,1.95,0.987,0.188,2.22,30.8,0.552,43.9,0.155
0.583,0.399,1.84,0.694,0.183,1.8,18.2,0.41,34.8,0.115
0.468,0.356,1.49,0.571,0.178,1.4,13.6,0.354,30.2,0.098
0.405,0.334,1.59,0.526,0.176,1.18,11.2,0.33,26.8,0.096
0.364,0.324,1.41,0.541,0.177,0.912,9.66,0.363,23.9,0.091
0.35,0.347,1.4,0.577,0.175,1.02,8.52,0.369,21.8,0.338
0.363,0.905,1.57,1.31,0.193,0.922,7.72,0.416,20.1,0.592
0.829,0.706,2.8,0.885,0.214,1.64,7.46,0.531,19.9,0.254
0.542,0.566,1.9,0.877,0.241,1.08,10.4,0.555,20.7,0.443
0.497,0.473,1.89,0.818,0.216,0.955,8.96,0.433,20.2,0.174
0.382,0.456,1.47,0.678,0.198,0.866,8.04,0.38,20.3,0.132
0.699,0.403,2.26,0.632,0.196,1.16,6.45,0.355,18.4,0.224
0.576,0.378,2,0.548,0.185,0.903,9.48,0.332,18.7,0.138
0.548,0.424,1.81,0.557,0.178,1.55,9.81,0.295,17.9,0.127
0.697,0.427,2.88,0.602,0.167,1.78,8.52,0.286,31.7,0.117
0.427,0.355,1.56,0.512,0.168,0.938,8.36,0.265,30.4,0.09
0.46,0.327,1.67,0.447,0.167,0.821,6.4,0.251,22.2,0.082
1.3,0.31,3.08,0.419,0.158,1.89,5.52,0.239,20.8,0.085
0.849,0.308,2.33,0.414,0.156,1.19,5.28,0.224,18.9,0.107
0.536,0.289,1.8,0.386,0.153,0.876,5.18,0.222,17.2,0.087
0.433,0.302,1.46,0.385,0.151,0.77,4.9,0.214,16.5,0.104
0.405,0.296,1.37,0.356,0.148,0.718,4.47,0.209,15.3,0.106
0.359,0.287,1.35,0.339,0.143,0.691,4.11,0.206,14,0.089
0.326,0.273,1.28,0.337,0.145,0.676,3.86,0.202,13.1,0.088
0.303,0.266,1.23,0.323,0.147,0.661,3.65,0.193,12.4,0.087
0.341,0.25,1.25,0.308,0.142,0.656,3.51,0.189,11.8,0.086
0.313,0.244,1.24,0.306,0.142,0.652,3.41,0.19,11.5,0.082
0.302,0.239,1.24,0.322,0.141,0.736,3.28,0.193,11,0.208
0.288,0.232,1.27,0.31,0.14,0.641,3.22,0.198,10.7,0.112
0.286,0.218,1.35,0.291,0.139,0.725,3.21,0.19,10.7,0.095
0.29,0.287,1.43,0.507,0.154,0.679,3.46,0.232,10.9,0.185
0.263,0.305,1.35,0.591,0.148,0.699,3.48,0.298,12.2,0.127
0.644,0.258,2.63,0.458,0.194,1.57,3.61,0.461,14,0.16
0.352,0.237,1.79,0.378,0.154,1.09,6.43,0.318,15.3,0.096
0.273,0.219,1.31,0.348,0.149,0.757,6.36,0.253,20.5,0.094
0.328,0.21,1.27,0.337,0.143,0.718,6.75,0.262,43,0.091
0.35,0.216,1.27,0.326,0.139,0.727,6.17,0.24,38.2,0.089
0.263,0.209,1.25,0.309,0.136,0.634,5.25,0.216,31.3,0.089
0.251,0.244,1.22,0.294,0.134,0.646,4.14,0.201,24.9,0.086
0.225,0.185,1.17,0.264,0.127,0.61,3.78,0.181,21.8,0.08
0.217,0.21,1.17,0.253,0.128,0.595,3.34,0.181,18.8,0.159
0.216,0.413,1.2,0.341,0.124,0.656,3.08,0.177,16.6,0.653
0.22,0.264,1.24,0.328,0.122,0.745,3.03,0.171,14.9,0.122
0.909,0.225,3.14,0.288,0.135,1.23,3.2,0.181,14.8,0.165
0.477,0.216,1.87,0.276,0.131,0.754,3.79,0.189,17.1,0.103
0.44,0.758,1.67,0.308,0.146,0.685,3.86,0.291,21.9,0.255
0.384,0.4,1.48,0.293,0.132,0.611,3.39,0.27,20.6,0.107
0.309,0.272,1.29,0.27,0.128,0.581,3.11,0.221,39.6,0.093
0.252,0.236,1.2,0.276,0.126,0.585,2.98,0.252,33.4,0.087
0.232,0.202,1.17,0.252,0.12,0.58,2.67,0.205,20.3,0.084
0.217,0.188,1.16,0.239,0.119,0.593,2.47,0.183,16.6,0.083
0.216,0.176,1.2,0.231,0.119,0.599,2.34,0.174,14.6,0.091
0.216,0.169,1.15,0.232,0.119,0.602,2.26,0.17,13.1,0.083
0.211,0.163,1.17,0.223,0.118,0.606,2.21,0.167,12,0.081
0.231,0.163,1.41,0.222,0.12,0.682,2.35,0.164,11.9,0.083
0.261,0.157,1.45,0.224,0.116,1.12,2.58,0.16,15.4,0.09
0.311,0.148,1.78,0.219,0.112,0.855,3.25,0.154,20.5,0.081
0.248,0.149,1.34,0.308,0.118,1.22,2.93,0.168,17,0.187
0.232,0.151,1.17,0.258,0.114,0.678,2.69,0.167,14.3,0.089
0.226,0.145,1.22,0.256,0.111,0.649,4.52,0.165,17.3,0.083
0.212,0.134,1.18,0.236,0.106,0.646,3.29,0.156,14.9,0.079
0.888,0.122,2.54,0.215,0.103,2.15,3.25,0.15,12.9,0.077
0.266,0.116,1.2,0.215,0.105,0.772,2.47,0.143,11.5,0.164
0.237,0.114,1.13,0.206,0.101,0.655,2.18,0.138,10.5,0.082
0.216,0.111,1.03,0.197,0.099,0.7,2.06,0.138,10.1,0.079
0.23,0.111,1.04,0.205,0.093,0.663,1.95,0.135,9.77,0.078
0.248,0.114,1.24,0.215,0.119,3.04,1.91,0.17,9.53,0.259
0.214,0.111,1.07,0.219,0.107,1.06,1.89,0.166,9.69,0.1
0.2,0.115,1.07,0.21,0.103,0.775,1.81,0.149,9.22,0.1
0.191,0.11,1.08,0.208,0.102,0.718,1.71,0.14,8.9,0.093
1.02,0.104,2.81,0.198,0.183,1.62,1.67,0.228,8.62,0.091
0.377,0.101,1.53,0.196,0.166,0.84,1.66,0.182,8.51,0.132
0.287,0.117,1.62,0.221,0.137,0.86,1.83,0.162,9.03,0.286
0.255,0.11,1.37,0.226,0.126,0.748,2.05,0.158,8.57,0.1
0.255,0.112,1.21,0.227,0.121,0.676,1.75,0.156,8.08,0.103
0.227,0.131,1.15,0.203,0.117,0.684,1.63,0.151,7.97,0.092
0.341,0.201,1.9,0.423,0.115,1.91,1.61,0.141,7.93,0.089
1.31,0.182,4.08,0.354,0.117,2.03,1.68,0.152,8.45,0.286
0.374,0.17,1.6,0.272,0.112,0.836,8.18,0.148,9.51,0.098
0.27,0.138,1.27,0.222,0.11,0.638,6.5,0.135,9.54,0.15
0.252,0.139,1.22,0.216,0.108,0.603,3.22,0.133,8.67,0.077
0.215,0.144,1.19,0.2,0.106,0.586,2.37,0.132,8.04,0.071
0.203,0.12,1.17,0.194,0.1,0.594,2.02,0.126,7.71,0.071
0.192,0.106,1.16,0.196,0.096,0.591,1.82,0.125,7.43,0.095
0.192,0.1,1.17,0.193,0.093,0.61,2.24,0.118,7.17,0.075
0.188,0.094,1.14,0.165,0.094,0.612,2.48,0.119,7.71,0.068
0.193,0.09,1.15,0.188,0.091,0.609,1.87,0.118,7.63,0.057
0.189,0.088,1.15,0.177,0.086,0.589,1.8,0.115,7.41,0.069
0.185,0.083,1.11,0.169,0.083,0.571,1.66,0.112,7.08,0.064
0.189,0.084,1.04,0.162,0.084,0.57,1.54,0.111,6.91,0.066
0.205,0.083,1.13,0.178,0.086,0.671,1.5,0.116,6.81,0.067
0.193,0.084,1.03,0.17,0.085,0.565,1.47,0.115,6.8,0.061
0.202,0.077,1.13,0.167,0.079,0.559,1.45,0.118,6.81,0.061
0.193,0.076,1.17,0.165,0.08,0.545,1.4,0.115,6.67,0.062
0.197,0.08,1.09,0.165,0.085,0.544,1.4,0.107,6.55,0.071
0.193,0.084,1.1,0.162,0.092,0.543,1.39,0.111,6.49,0.103
0.485,0.174,3.32,0.535,0.109,1.69,1.4,0.249,6.42,0.686
0.347,0.288,1.96,1.39,0.117,0.704,1.43,0.163,6.31,0.221
0.225,0.207,1.13,0.473,0.096,0.578,1.42,0.161,6.29,0.244
0.204,0.335,1.14,0.747,0.113,0.559,1.41,0.184,6.32,0.214
0.871,0.223,2.24,0.416,0.098,3.24,1.74,0.176,7.21,0.109
0.406,0.163,1.9,0.284,0.092,0.858,7.07,0.148,10.8,0.089
0.279,0.269,1.22,0.497,0.095,0.617,10.4,0.156,10.6,0.09
0.292,0.194,1.16,0.617,0.094,0.586,4.6,0.214,9.13,0.077
0.227,0.509,1.13,0.807,0.087,0.586,2.75,0.378,8.11,0.158
0.232,0.3,1.11,0.58,0.083,0.611,2.13,0.24,7.56,0.079
0.217,0.18,1.17,0.335,0.081,0.576,1.81,0.165,7.33,0.086
0.297,0.153,1.23,0.261,0.082,0.636,1.62,0.152,7.45,0.097
0.285,0.194,1.51,0.428,0.098,0.632,1.61,0.166,7.96,0.164
0.215,0.168,1.22,0.285,0.085,0.534,1.54,0.148,7.64,0.074
0.205,0.135,1.12,0.238,0.082,0.544,1.47,0.136,7.23,0.07
0.201,0.117,1.14,0.222,0.08,0.533,1.41,0.127,6.94,0.073
0.21,0.11,1.16,0.209,0.076,0.536,1.47,0.124,7.06,0.067
0.219,0.105,1.23,0.2,0.076,0.533,1.6,0.123,8.74,0.067
0.207,0.103,1.21,0.196,0.075,0.748,1.77,0.121,7.98,0.083
0.214,0.096,1.24,0.189,0.072,0.724,2.14,0.118,24.6,0.074
0.522,0.122,1.83,0.237,0.08,2.69,2.81,0.131,14.1,0.144
0.239,0.154,1.3,0.24,0.077,0.737,2.37,0.128,12.2,0.185
0.201,0.123,1.14,0.211,0.075,0.58,1.95,0.123,9.51,0.079
0.188,0.105,1.09,0.197,0.072,0.57,1.73,0.118,8.56,0.077
0.178,0.096,1.09,0.191,0.07,0.55,1.55,0.118,7.92,0.07
0.177,0.092,1.1,0.187,0.07,0.535,1.43,0.139,7.41,0.248
0.189,0.141,1.05,0.652,0.088,0.558,1.36,0.227,7.08,1.5
0.41,0.187,1.03,0.306,0.076,0.515,1.29,0.146,6.84,0.163
0.254,0.135,1.36,0.228,0.072,1.19,1.25,0.131,6.63,0.103
0.595,0.353,2.24,0.401,0.095,1.55,1.24,0.143,6.61,0.447
0.215,0.335,1.09,0.407,0.079,0.598,1.26,0.133,6.62,0.131
0.776,0.3,2,0.44,0.117,2.17,1.31,0.215,25.2,0.596
0.434,0.587,1.62,0.853,0.094,3.77,1.42,0.2,22.3,0.352
0.689,0.366,1.79,0.418,0.09,1.85,1.35,0.157,18.1,0.119
0.319,0.213,1.17,0.283,0.084,0.79,1.29,0.148,15.9,0.101
0.26,0.17,1.06,0.24,0.08,0.64,1.28,0.139,13.5,0.091
0.345,0.145,1.47,0.225,0.077,0.683,1.25,0.132,14.4,0.087
0.247,0.128,1.19,0.217,0.081,0.601,1.21,0.127,15.4,0.087
0.65,0.115,1.62,0.226,0.075,0.745,1.24,0.127,12.7,0.085
0.324,0.108,1.31,0.2,0.073,0.616,1.35,0.124,11.7,0.079
0.235,0.105,1.12,0.196,0.071,0.587,1.3,0.119,10.3,0.077
0.218,0.102,1.07,0.188,0.07,0.567,1.22,0.12,9.2,0.078
0.227,0.101,1.04,0.268,0.084,0.675,1.21,0.12,8.6,0.366
0.23,0.103,1.1,0.333,0.09,0.615,1.19,0.121,8.23,0.202
0.216,0.106,1.09,0.275,0.081,0.604,1.16,0.12,8.05,0.101
0.206,0.111,1.16,0.255,0.075,0.585,1.15,0.114,7.91,0.085
0.761,0.096,2.55,0.234,0.074,3.76,1.22,0.114,8.25,0.142
0.393,0.101,1.47,0.243,0.074,2.48,9.91,0.117,30,0.272
0.525,0.113,1.65,0.235,0.105,0.917,9.12,0.119,24.1,0.907
0.294,0.109,1.22,0.229,0.089,0.711,3.89,0.121,15.4,0.123
0.243,0.107,1.1,0.258,0.083,0.634,2.46,0.116,12,0.094
0.236,0.103,1.07,0.225,0.078,0.611,2.05,0.114,10.4,0.084
0.27,0.101,1.26,0.243,0.077,0.618,1.84,0.114,10.7,0.089
0.499,0.147,1.92,0.298,0.106,1.19,2.03,0.125,13.7,0.839
0.296,0.158,1.16,0.293,0.092,0.647,2.49,0.12,20.7,0.168
0.254,0.128,1.12,0.249,0.084,0.589,2.27,0.114,13.8,0.102
0.258,0.109,1.09,0.238,0.085,0.587,1.97,0.116,11.9,0.089
0.239,0.104,1.02,0.207,0.082,0.589,1.84,0.118,11,0.088
0.221,0.103,1,0.184,0.082,0.597,1.66,0.118,10.9,0.084
0.211,0.103,1.03,0.198,0.08,0.587,1.55,0.119,10.5,0.084
