London-Road,South-Willesborough,Collyhurst-Weir,Alfoldean,Denham-Lodge,Kirkby,Morwick,Ower,Great-Corby,Elm-Park-(Bretons-Farm)
0.356,0.41,1.01,0.535,0.266,0.705,3.29,0.433,18.4,0.104
0.342,0.396,1.01,0.505,0.262,0.694,3.29,0.428,17.6,0.129
0.358,0.387,1.24,0.485,0.266,1.32,3.62,0.582,22.2,0.179
0.383,0.354,1.31,0.572,0.265,0.909,6.78,0.582,35.6,0.16
0.336,0.379,1.2,0.537,0.259,0.636,4.91,0.638,26.3,0.22
0.32,0.364,1.01,0.506,0.264,0.724,3.97,0.621,22.7,0.116
0.309,0.357,1.06,0.501,0.261,0.706,3.83,0.57,21.1,0.097
0.301,0.373,0.949,0.455,0.259,0.611,4.14,0.491,19.9,0.112
0.266,0.518,0.939,0.488,0.26,0.594,3.46,0.467,18.5,0.115
0.253,0.421,0.956,0.48,0.26,0.586,3.23,0.455,17.4,0.1
0.256,0.398,0.948,0.468,0.256,0.598,3.31,0.451,16.8,0.099
0.262,0.395,0.974,0.511,0.263,0.647,3.56,0.471,16.1,0.21
0.354,0.396,1.41,0.627,0.297,1.5,4.57,0.626,15.7,0.712
0.908,0.595,2.32,2.13,0.531,0.948,8.61,5.77,15.9,1.06
0.487,9.51,1.31,6.15,0.527,0.669,5.66,4.43,15.6,1.8
0.373,3.88,1.06,2.83,0.412,0.599,4.65,1.68,15,0.505
0.318,2.76,0.998,1.28,0.37,0.566,4.63,1.03,15.5,0.263
0.292,2.39,1,0.98,0.348,0.576,4.55,0.808,14.8,0.197
0.289,1.25,0.999,0.843,0.334,0.592,4.01,0.705,14.2,0.216
0.289,0.762,0.986,1.04,0.329,0.59,3.75,0.628,13.5,0.198
0.312,0.65,1.15,0.772,0.317,1.25,3.53,0.555,13,0.149
0.566,0.899,1.97,1.65,0.351,1.92,7.67,1.06,17.2,0.586
1.71,1.2,3.32,7.06,0.363,1.07,34.3,4.88,36.6,1.23
1.88,1.53,3.14,6.12,0.336,0.893,68,3.39,49.5,1.38
0.808,0.985,1.74,3.6,0.329,0.75,37.6,1.38,32.1,0.982
0.549,1.77,1.25,11.2,0.498,0.688,16.7,2.84,22.8,1.97
0.447,1.17,1.14,3.98,0.421,0.795,13.4,2.46,19.2,0.622
0.584,0.91,1.61,6.18,0.421,0.886,35.9,3.87,20.4,0.804
1.26,0.747,2.64,6.16,0.483,1.17,23.6,6.48,28.7,0.645
0.962,0.82,2.22,5.64,0.471,0.831,28.3,7.27,26.2,0.524
0.796,2.6,1.89,7.72,0.496,0.715,23.1,9.14,34.2,0.553
0.927,2.89,2.25,4.46,0.451,1.1,13.1,4.3,30.3,0.369
1.45,2.1,2.94,2.87,0.433,1.68,10.5,3.76,51.9,0.284
0.692,1.1,1.67,1.91,0.416,1.35,10.7,1.82,32.7,0.212
0.663,0.872,1.93,1.86,0.407,2.44,14.6,2.66,26.2,0.219
0.751,0.89,2.1,3.33,0.411,3.35,69,5.91,60.7,0.895
1.01,1.84,2.48,4.17,0.413,4.15,52.9,2.76,105,1.13
0.69,1.12,1.76,2.38,0.386,2.4,34.8,1.61,75,0.375
0.525,1.53,1.42,2.59,0.395,1.72,18.8,1.86,45.9,0.959
0.46,1.61,1.24,2.89,0.39,1.32,13.7,1.51,34.6,0.57
0.406,1.93,1.16,1.67,0.371,0.992,10.9,1.04,28.8,0.631
0.373,1.29,1.12,1.32,0.362,0.861,8.99,0.855,25,0.283
0.364,0.945,1.13,1.11,0.347,0.782,7.79,0.729,22.2,0.193
0.33,0.789,1.09,0.964,0.344,0.723,6.88,0.669,20,0.177
0.319,0.701,1.09,0.921,0.338,0.721,6.33,0.635,18.5,0.169
0.312,0.568,1.08,0.815,0.336,0.717,5.77,0.597,17,0.156
0.305,0.584,1.07,0.695,0.331,0.499,5.38,0.795,15.9,0.145
0.295,0.612,1.06,0.72,0.32,0.686,4.95,0.995,15,0.135
0.283,0.529,1.1,3.33,0.321,0.61,4.57,0.798,14.1,0.136
0.279,0.503,1.13,3.83,0.31,0.591,4.22,0.772,13.5,0.145
0.272,0.527,1.1,1.97,0.309,0.601,3.99,0.656,13,0.228
0.254,0.588,1.07,1.19,0.309,0.565,3.82,0.585,12.3,0.649
0.256,0.461,1.08,0.954,0.309,0.56,3.6,0.53,11.7,0.199
0.263,0.439,1.13,0.82,0.304,0.508,3.36,0.501,11.3,0.146
0.264,0.408,1.16,0.69,0.299,0.619,3.82,0.472,11,0.126
0.257,0.45,1.19,0.623,0.285,0.658,4.3,0.437,10.5,0.124
0.263,0.455,1.26,0.561,0.281,1.13,3.48,0.41,10.6,0.112
0.734,0.409,3.06,0.51,0.28,1.66,6.36,0.4,12.7,0.158
0.83,0.395,2.88,0.576,0.287,1.59,4.38,0.421,15.6,0.537
1.43,0.334,3.66,0.507,0.329,0.799,4.03,0.397,18.7,0.239
0.874,0.372,2.45,0.568,0.358,1.4,4.09,0.405,17.8,0.477
0.62,0.66,1.6,0.909,0.363,0.827,4.25,0.459,17,0.411
0.441,0.468,1.21,0.574,0.325,0.824,4.23,0.396,15.4,0.164
1.34,0.428,3.25,0.644,0.33,2.84,3.53,0.616,13.2,0.194
0.561,0.6,1.39,1.17,0.347,0.973,3.22,0.811,13.1,0.646
0.548,0.863,1.67,1.34,0.34,2.05,2.97,0.699,12.5,0.255
1.23,2.79,3.27,6.88,0.417,4.24,3.2,2.86,13.7,2.22
1.13,3.52,2.18,9.64,0.468,3.23,23.3,2.78,47.4,2.35
0.608,7.1,1.44,30.6,0.605,2.16,10.2,5.72,22.9,3.61
0.51,3.97,1.45,7.41,0.436,1.35,7.63,2.51,19.7,0.648
0.393,2.48,1.19,2.96,0.381,1.18,5.42,1.23,16.1,0.375
0.398,0.982,1.33,1.71,0.362,2.13,4.42,0.837,15.2,0.283
0.522,0.712,1.57,1.42,0.362,1.51,3.93,0.741,13.8,0.23
1.27,0.582,4.31,1.2,0.343,3.63,3.94,0.631,31.5,0.197
13.1,0.57,15.1,1.05,0.33,7.56,13.2,0.567,47.4,0.172
3.45,0.511,4.96,0.883,0.32,5.45,58,0.508,131,0.146
1.24,0.49,2.06,0.8,0.323,3.11,16.6,0.575,44.9,0.142
0.991,0.625,2.02,0.796,0.314,3.74,12.7,0.504,45.3,0.222
0.703,0.581,1.54,0.692,0.303,2.41,10.3,0.424,36.6,0.125
0.566,0.438,1.29,0.593,0.294,1.82,7.36,0.377,27.4,0.118
0.513,0.405,1.29,0.943,0.304,3.44,6.01,0.399,27.8,0.133
0.402,0.367,1.03,0.657,0.289,1.81,5.43,0.354,29.6,0.104
0.35,0.345,1.07,0.518,0.281,1.34,4.69,0.331,24.7,0.103
0.348,0.332,1.05,0.468,0.281,1.48,4.28,0.316,21.9,0.103
0.313,0.319,1.05,0.44,0.279,1.44,4.03,0.311,22.4,0.097
0.35,0.318,1.28,0.416,0.274,1.94,3.64,0.305,21.3,0.093
0.29,0.308,1,0.404,0.271,1.05,3.35,0.296,20.7,0.091
0.261,0.299,1.05,0.389,0.266,1.01,3.18,0.291,17.4,0.09
0.253,0.279,1.02,0.359,0.264,0.697,2.9,0.272,15.9,0.081
0.24,0.256,1,0.326,0.255,0.857,2.75,0.257,14.5,0.077
0.238,0.252,1.04,0.311,0.255,0.881,2.6,0.253,13.2,0.077
0.323,0.258,1.19,0.416,0.269,0.92,2.44,0.412,12.4,0.25
0.334,0.256,1.43,0.346,0.258,0.942,2.45,0.322,12.8,0.098
0.872,0.242,2.9,0.308,0.255,3.21,2.42,0.306,25.8,0.103
0.385,0.243,1.14,0.303,0.252,1.11,2.5,0.284,23.6,0.086
0.31,0.169,0.941,0.284,0.25,0.865,2.43,0.269,19.9,0.079
